,DAY,AQI,KolZur 15 5,KolZur 365 3
0,01/01/70,443,461.6,433.4678082191781
1,01/02/70,501,461.6,433.4678082191781
2,01/03/70,463,461.6,433.4678082191781
3,01/04/70,642,461.6,433.4678082191781
4,01/05/70,772,461.6,433.4678082191781
5,01/06/70,293,461.6,433.4678082191781
6,01/07/70,170,461.6,433.4678082191781
7,01/08/70,481,461.6,433.4678082191781
8,01/09/70,88,461.6,433.4678082191781
9,01/10/70,231,461.6,433.4678082191781
10,01/11/70,639,461.6,433.4678082191781
11,01/12/70,470,461.6,433.4678082191781
12,01/13/70,636,461.6,433.4678082191781
13,01/14/70,426,461.6,433.4678082191781
14,01/15/70,629,461.6,433.4678082191781
15,01/16/70,703,461.6,433.4678082191781
16,01/17/70,723,461.6,433.4678082191781
17,01/18/70,238,461.6,433.4678082191781
18,01/19/70,215,461.6,433.4678082191781
19,01/20/70,45,461.6,433.4678082191781
20,01/21/70,557,461.6,433.4678082191781
21,01/22/70,46,461.6,433.4678082191781
22,01/23/70,244,461.6,433.4678082191781
23,01/24/70,154,461.6,433.4678082191781
24,01/25/70,717,461.6,433.4678082191781
25,01/26/70,571,461.6,433.4678082191781
26,01/27/70,209,461.6,433.4678082191781
27,01/28/70,733,461.6,433.4678082191781
28,01/29/70,554,461.6,433.4678082191781
29,01/30/70,541,461.6,433.4678082191781
30,01/31/70,306,461.6,433.4678082191781
31,02/01/70,390,461.6,433.4678082191781
32,02/02/70,544,461.6,433.4678082191781
33,02/03/70,113,461.6,433.4678082191781
34,02/04/70,489,461.6,433.4678082191781
35,02/05/70,438,290.94442534979424,433.4678082191781
36,02/06/70,498,290.4194488888889,433.4678082191781
37,02/07/70,385,289.863295473251,433.4678082191781
38,02/08/70,602,289.29895374485596,433.4678082191781
39,02/09/70,418,288.74791111111114,433.4678082191781
40,02/10/70,339,288.23382123456787,433.4678082191781
41,02/11/70,94,287.7850139917695,433.4678082191781
42,02/12/70,782,287.43297711934156,433.4678082191781
43,02/13/70,469,287.20821596707816,433.4678082191781
44,02/14/70,145,287.13390222222216,433.4678082191781
45,02/15/70,184,287.22412378600825,433.4678082191781
46,02/16/70,94,287.48709004115227,433.4678082191781
47,02/17/70,60,287.92216888888885,433.4678082191781
48,02/18/70,683,288.5192915226337,433.4678082191781
49,02/19/70,420,289.2624724279835,433.4678082191781
50,02/20/70,594,290.1316622222222,433.4678082191781
51,02/21/70,586,291.1069458436214,433.4678082191781
52,02/22/70,537,292.1616579423868,433.4678082191781
53,02/23/70,553,293.27341300411524,433.4678082191781
54,02/24/70,85,294.42081053497935,433.4678082191781
55,02/25/70,790,295.5789418930041,433.4678082191781
56,02/26/70,573,296.7240006584362,433.4678082191781
57,02/27/70,183,297.8348128395062,433.4678082191781
58,02/28/70,645,298.8941616460906,433.4678082191781
59,03/01/70,470,299.8891575308642,433.4678082191781
60,03/02/70,248,300.8087374485597,433.4678082191781
61,03/03/70,243,301.64457876543213,433.4678082191781
62,03/04/70,522,302.39328131687245,433.4678082191781
63,03/05/70,454,303.04878617283947,433.4678082191781
64,03/06/70,540,303.60067818930037,433.4678082191781
65,03/07/70,73,304.02902781893005,433.4678082191781
66,03/08/70,212,304.31238979423864,433.4678082191781
67,03/09/70,187,304.4218969547325,433.4678082191781
68,03/10/70,680,304.3219120987654,433.4678082191781
69,03/11/70,373,303.97678222222225,433.4678082191781
70,03/12/70,668,303.34845234567905,433.4678082191781
71,03/13/70,527,302.39966419753085,433.4678082191781
72,03/14/70,530,301.0991341563786,433.4678082191781
73,03/15/70,718,299.4235772839506,433.4678082191781
74,03/16/70,614,297.35976427983536,433.4678082191781
75,03/17/70,484,294.9044793415638,433.4678082191781
76,03/18/70,489,292.05840197530864,433.4678082191781
77,03/19/70,451,288.8347733333333,433.4678082191781
78,03/20/70,156,285.25896954732514,433.4678082191781
79,03/21/70,489,281.3740246913581,433.4678082191781
80,03/22/70,171,277.23542255144037,433.4678082191781
81,03/23/70,388,272.9116879012346,433.4678082191781
82,03/24/70,303,268.4883634567902,433.4678082191781
83,03/25/70,42,264.0611002469136,433.4678082191781
84,03/26/70,787,259.73384559670785,433.4678082191781
85,03/27/70,81,255.6132174485597,433.4678082191781
86,03/28/70,344,251.79998288065843,433.4678082191781
87,03/29/70,180,248.3850534979424,433.4678082191781
88,03/30/70,31,245.44770897119344,433.4678082191781
89,03/31/70,351,243.05397991769547,433.4678082191781
90,04/01/70,268,241.26472559670776,433.4678082191781
91,04/02/70,465,240.1290403292181,433.4678082191781
92,04/03/70,731,239.68641711934154,433.4678082191781
93,04/04/70,47,239.96056230452677,433.4678082191781
94,04/05/70,523,240.95946798353913,433.4678082191781
95,04/06/70,164,242.67458370370375,433.4678082191781
96,04/07/70,153,245.07413728395065,433.4678082191781
97,04/08/70,158,248.1084773662552,433.4678082191781
98,04/09/70,124,251.71332213991775,433.4678082191781
99,04/10/70,290,255.8128079012346,433.4678082191781
100,04/11/70,639,260.324965925926,433.4678082191781
101,04/12/70,319,265.1653465020577,433.4678082191781
102,04/13/70,501,270.2475298765433,433.4678082191781
103,04/14/70,695,275.4879407407408,433.4678082191781
104,04/15/70,306,280.8012879012347,433.4678082191781
105,04/16/70,661,286.10396576131694,433.4678082191781
106,04/17/70,377,291.31195917695476,433.4678082191781
107,04/18/70,111,296.3472750617284,433.4678082191781
108,04/19/70,618,301.1389497942387,433.4678082191781
109,04/20/70,657,305.6262176131687,433.4678082191781
110,04/21/70,494,309.76241646090534,433.4678082191781
111,04/22/70,693,313.5107410699589,433.4678082191781
112,04/23/70,367,316.84236115226344,433.4678082191781
113,04/24/70,217,319.73733530864206,433.4678082191781
114,04/25/70,599,322.1859502880659,433.4678082191781
115,04/26/70,537,324.18892641975316,433.4678082191781
116,04/27/70,718,325.7583565432099,433.4678082191781
117,04/28/70,609,326.9112177777778,433.4678082191781
118,04/29/70,464,327.6671881481481,433.4678082191781
119,04/30/70,87,328.04603127572017,433.4678082191781
120,05/01/70,163,328.0702288065843,433.4678082191781
121,05/02/70,189,327.7609020576131,433.4678082191781
122,05/03/70,690,327.1416296296296,433.4678082191781
123,05/04/70,446,326.2375111111111,433.4678082191781
124,05/05/70,710,325.07653399176957,433.4678082191781
125,05/06/70,601,323.69233514403294,433.4678082191781
126,05/07/70,626,322.1253175308642,433.4678082191781
127,05/08/70,600,320.41892609053497,433.4678082191781
128,05/09/70,507,318.61400625514403,433.4678082191781
129,05/10/70,490,316.74308213991765,433.4678082191781
130,05/11/70,227,314.8302498765432,433.4678082191781
131,05/12/70,180,312.89488065843614,433.4678082191781
132,05/13/70,405,310.9585843621399,433.4678082191781
